Cliente,TiempoLLave,TiempoActualizacion
Cliente1,1085,243
Cliente1,16,218
Cliente1,1,235
Cliente1,1,234
Cliente1,1,227
Cliente1,15,204
Cliente1,1,218
Cliente1,0,220
Cliente1,0,218
Cliente1,1,234
Cliente1,1,218
Cliente1,1,219
Cliente1,16,203
Cliente1,0,218
Cliente1,16,202
Cliente1,16,219
Cliente1,1,218
Cliente1,1,235
Cliente1,15,190
Cliente1,1,229
Cliente1,16,219
Cliente1,16,205
Cliente1,16,204
Cliente1,0,220
Cliente1,0,219
Cliente1,0,213
Cliente1,15,214
Cliente1,1,218
Cliente1,1,219
Cliente1,0,219
Cliente1,16,219
Cliente1,0,220
Cliente1,1,218
Cliente1,1,219
Cliente1,16,205
Cliente1,1,218
Cliente1,0,204
Cliente1,0,220
Cliente1,6,234
Cliente1,0,218
Cliente1,0,219
Cliente1,1,218
Cliente1,16,214
Cliente1,0,212
Cliente1,0,229
Cliente1,16,202
Cliente1,1,221
Cliente1,0,237
Cliente1,1,219
Cliente1,32,203
Cliente1,0,219
Cliente1,0,211
Cliente1,1,219
Cliente1,15,204
Cliente1,1,234
Cliente1,15,204
Cliente1,1,234
Cliente1,16,219
Cliente1,1,234
Cliente1,1,234
Cliente1,0,218
Cliente1,16,210
Cliente1,15,224
Cliente1,1,218
Cliente1,0,203
Cliente1,1,218
Cliente1,15,202
Cliente1,0,218
Cliente1,14,235
Cliente1,15,220
Cliente1,17,218
Cliente1,1,218
Cliente1,0,219
Cliente1,1,226
Cliente1,0,230
Cliente1,1,219
Cliente1,0,207
Cliente1,1,234
Cliente1,0,219
Cliente1,0,204
Cliente1,16,204
Cliente1,1,234
Cliente1,1,227
Cliente1,1,218
Cliente1,15,235
Cliente1,15,212
Cliente1,15,219
Cliente1,1,219
Cliente1,15,222
Cliente1,15,220
Cliente1,1,219
Cliente1,0,220
Cliente1,16,205
Cliente1,0,226
Cliente1,0,219
Cliente1,15,226
Cliente1,16,203
Cliente1,1,218
Cliente1,1,218
Cliente1,0,218
Cliente1,16,220
Cliente1,1,234
Cliente1,0,218
Cliente1,16,220
Cliente1,1,234
Cliente1,0,218
Cliente1,0,214
Cliente1,1,218
Cliente1,0,219
Cliente1,0,223
Cliente1,0,219
Cliente1,0,219
Cliente1,16,218
Cliente1,1,234
Cliente1,16,203
Cliente1,15,220
Cliente1,0,214
Cliente1,16,219
Cliente1,16,203
Cliente1,0,219
Cliente1,1,220
Cliente1,1,218
Cliente1,16,203
Cliente1,16,219
Cliente1,2,234
Cliente1,0,205
Cliente1,15,212
Cliente1,1,219
Cliente1,1,218
Cliente1,1,219
Cliente1,16,204
Cliente1,0,227
Cliente1,1,220
Cliente1,16,215
Cliente1,16,204
Cliente1,1,211
Cliente1,16,219
Cliente1,15,204
Cliente1,0,204
Cliente1,0,219
Cliente1,16,219
Cliente1,16,219
Cliente1,0,219
Cliente1,0,229
Cliente1,1,218
Cliente1,1,234
Cliente1,16,204
Cliente1,1,234
Cliente1,16,220
Cliente1,1,223
Cliente1,16,219
Cliente1,1,223
Cliente1,1,228
Cliente1,0,233
Cliente1,1,241
Cliente1,1,234
Cliente1,0,220
Cliente1,0,219
Cliente1,0,204
Cliente1,1,234
Cliente1,0,219
Cliente1,16,219
Cliente1,16,203
Cliente1,1,219
Cliente1,16,219
Cliente1,0,234
Cliente1,0,204
Cliente1,1,218
Cliente1,1,228
Cliente1,1,234
Cliente1,16,219
Cliente1,1,219
Cliente1,1,218
Cliente1,16,219
Cliente1,15,220
Cliente1,1,218
Cliente1,1,234
Cliente1,1,297
Cliente1,16,218
Cliente1,0,219
Cliente1,16,204
Cliente1,1,234
Cliente1,15,220
Cliente1,1,219
Cliente1,0,204
Cliente1,1,234
Cliente2,16,204
Cliente2,0,219
Cliente2,1,234
Cliente2,1,234
Cliente2,16,201
Cliente2,16,219
Cliente2,1,234
Cliente2,0,206
Cliente2,0,213
Cliente2,1,219
Cliente2,1,226
Cliente2,0,220
Cliente2,16,219
Cliente2,1,218
Cliente2,16,218
Cliente2,16,202
Cliente2,1,218
Cliente2,1,224
Cliente2,1,250
Cliente2,1,218
Cliente2,0,228
Cliente2,15,220
Cliente2,0,218
Cliente2,1,220
Cliente2,1,219
Cliente2,1,233
Cliente2,15,205
Cliente2,16,219
Cliente2,1,234
Cliente2,0,219
Cliente2,16,203
Cliente2,1,218
Cliente2,0,234
Cliente2,0,218
Cliente3,15,221
Cliente3,0,212
Cliente3,1,218
Cliente3,0,228
Cliente3,15,214
Cliente3,1,219
Cliente3,15,204
Cliente3,1,234
Cliente3,15,218
Cliente3,1,234
