Cliente,TiempoLLave,TiempoActualizacion
Cliente1,928,219
Cliente1,646,219
Cliente1,0,211
Cliente1,15,219
Cliente1,16,218
Cliente1,16,218
Cliente1,1,234
Cliente1,0,220
Cliente1,15,204
Cliente1,0,203
Cliente1,15,219
Cliente1,15,219
Cliente1,1,235
Cliente1,1,233
Cliente1,16,218
Cliente1,1,218
Cliente1,16,213
Cliente1,1,218
Cliente1,1,218
Cliente1,16,218
Cliente1,0,203
Cliente1,16,202
Cliente1,0,219
Cliente1,0,203
Cliente1,7,236
Cliente1,1,219
Cliente1,0,203
Cliente1,1,218
Cliente1,0,218
Cliente1,0,218
Cliente1,0,220
Cliente1,16,219
Cliente1,16,218
Cliente1,0,198
Cliente1,16,204
Cliente1,0,219
Cliente1,15,220
Cliente1,15,297
Cliente1,0,219
Cliente1,0,218
Cliente1,15,203
Cliente1,16,205
Cliente1,0,204
Cliente1,0,219
Cliente1,0,212
Cliente1,16,212
Cliente3,0,219
Cliente3,16,202
Cliente3,1,234
Cliente3,0,219
Cliente3,1,226
Cliente3,1,219
Cliente3,1,237
Cliente3,16,219
Cliente3,0,218
Cliente3,1,228
Cliente3,32,219
Cliente3,16,218
Cliente3,0,220
Cliente4,0,202
Cliente4,1,218
Cliente5,0,231
Cliente5,15,219
Cliente5,16,218
Cliente5,16,219
Cliente5,14,236
Cliente6,1,218
Cliente5,15,205
Cliente6,0,218
Cliente6,1,220
Cliente6,36,202
Cliente6,16,203
Cliente6,1,234
Cliente6,15,203
Cliente7,0,209
Cliente7,15,203
Cliente7,0,218
Cliente7,15,219
