Cliente,TiempoLLave,TiempoActualizacion
Cliente1,726,218
Cliente1,913,218
Cliente1,16,219
Cliente1,0,203
Cliente1,16,206
Cliente1,16,206
Cliente1,16,220
Cliente1,15,219
Cliente1,16,218
Cliente1,15,203
Cliente1,15,206
Cliente1,31,214
Cliente1,0,218
Cliente1,0,202
Cliente1,16,204
Cliente1,1,219
Cliente1,15,189
Cliente1,16,219
Cliente1,0,218
Cliente1,16,218
Cliente1,15,204
Cliente1,16,203
Cliente1,16,282
Cliente1,15,220
Cliente1,16,218
Cliente1,1,226
Cliente1,16,218
Cliente1,16,219
Cliente1,16,203
Cliente1,0,219
Cliente1,16,221
Cliente1,16,218
Cliente1,0,213
Cliente1,0,203
Cliente1,0,200
Cliente1,16,213
Cliente1,15,219
Cliente1,1,234
Cliente1,15,205
Cliente1,1,218
Cliente1,15,221
Cliente1,1,226
Cliente1,0,218
Cliente1,15,220
Cliente1,0,218
Cliente1,0,203
Cliente1,15,219
Cliente1,15,220
Cliente1,0,218
Cliente1,16,297
Cliente1,0,200
Cliente1,0,216
Cliente1,16,202
Cliente1,16,218
Cliente1,0,209
Cliente1,16,219
Cliente1,15,207
Cliente1,0,219
Cliente1,31,203
Cliente1,16,219
Cliente1,16,218
Cliente1,0,219
Cliente1,0,203
Cliente1,0,234
Cliente1,16,218
Cliente1,0,204
Cliente1,1,228
Cliente1,0,219
Cliente1,16,219
Cliente1,15,189
Cliente1,0,204
Cliente1,31,282
Cliente1,0,220
Cliente1,1,218
Cliente1,16,214
Cliente1,0,226
Cliente1,16,219
Cliente1,0,224
Cliente1,16,219
Cliente1,0,219
Cliente1,15,212
Cliente1,1,218
Cliente1,0,225
Cliente1,16,218
Cliente1,15,220
Cliente1,16,218
Cliente1,0,204
Cliente1,0,218
Cliente1,16,202
Cliente1,0,219
Cliente1,1,219
Cliente1,16,203
Cliente1,16,218
Cliente1,0,203
Cliente1,15,203
Cliente1,1,235
Cliente1,15,210
Cliente1,0,232
Cliente1,32,202
Cliente1,0,210
Cliente1,0,226
Cliente3,0,204
Cliente3,16,251
Cliente3,16,202
Cliente3,1,234
Cliente3,43,203
Cliente3,0,227
Cliente3,0,219
Cliente3,0,219
Cliente3,16,210
Cliente3,0,218
Cliente3,1,217
Cliente3,1,218
Cliente3,0,204
Cliente3,15,219
Cliente3,1,234
Cliente3,15,205
Cliente3,16,204
Cliente3,1,204
Cliente3,0,204
Cliente3,15,203
Cliente3,0,220
Cliente3,15,220
Cliente3,15,219
Cliente3,1,234
Cliente3,16,203
Cliente3,1,218
Cliente3,0,213
Cliente3,1,218
Cliente3,0,204
Cliente3,16,218
Cliente3,0,188
Cliente3,1,219
Cliente4,15,203
Cliente4,1,218
Cliente4,31,218
Cliente4,1,219
Cliente4,15,203
Cliente4,1,234
Cliente4,15,219
Cliente4,0,219
Cliente4,16,203
Cliente5,0,188
Cliente5,1,228
Cliente5,0,202
Cliente5,0,231
Cliente5,1,218
Cliente5,16,218
Cliente5,0,218
Cliente5,0,218
Cliente5,15,202
Cliente5,0,232
Cliente5,0,219
Cliente5,1,218
Cliente5,15,216
Cliente5,0,219
Cliente5,1,234
Cliente5,16,202
Cliente5,1,318
Cliente5,15,219
Cliente5,16,206
Cliente5,1,235
Cliente5,1,226
Cliente5,15,220
Cliente5,16,203
Cliente5,16,204
Cliente5,1,235
Cliente5,0,220
Cliente5,31,203
Cliente5,1,218
Cliente5,0,218
Cliente5,16,219
Cliente5,1,218
Cliente5,16,203
Cliente5,0,218
Cliente5,16,202
Cliente5,1,283
Cliente5,0,234
Cliente5,1,235
Cliente5,0,218
Cliente5,1,234
Cliente5,0,218
Cliente5,1,226
Cliente5,16,202
Cliente5,0,221
Cliente5,15,203
Cliente5,1,218
Cliente5,0,204
Cliente5,0,218
Cliente5,16,203
Cliente5,1,218
Cliente6,0,219
Cliente6,15,208
Cliente7,0,218
Cliente7,1,232
