Cliente,TiempoLLave,TiempoActualizacion
Cliente1,962,215
Cliente1,1180,215
Cliente1,16,202
Cliente1,15,220
Cliente1,31,203
Cliente1,1,219
Cliente1,16,205
Cliente1,16,203
Cliente1,0,202
Cliente1,1,219
Cliente1,16,218
Cliente1,16,213
Cliente1,16,218
Cliente1,1,220
Cliente1,16,214
Cliente1,16,205
Cliente1,0,203
Cliente1,16,212
Cliente1,15,219
Cliente1,1,226
Cliente1,15,211
Cliente1,0,217
Cliente1,1,241
Cliente1,16,203
Cliente1,0,206
Cliente1,1,218
Cliente1,16,218
Cliente1,0,243
Cliente1,16,218
Cliente1,16,213
Cliente1,0,219
Cliente1,16,297
Cliente1,16,203
Cliente1,0,219
Cliente1,15,204
Cliente1,15,214
Cliente1,0,228
Cliente1,0,204
Cliente1,16,197
Cliente1,1,234
Cliente1,16,203
Cliente1,15,219
Cliente1,1,218
Cliente1,0,196
Cliente1,16,203
Cliente1,14,228
Cliente1,1,234
Cliente1,1,230
Cliente1,16,218
Cliente1,15,203
Cliente1,0,213
Cliente1,16,219
Cliente1,16,218
Cliente1,0,221
Cliente1,15,203
Cliente1,1,219
Cliente1,0,218
Cliente1,16,219
Cliente1,16,218
Cliente1,0,219
Cliente1,16,217
Cliente1,0,221
Cliente1,0,225
Cliente1,15,204
Cliente1,0,220
Cliente1,1,234
Cliente1,1,219
Cliente1,0,212
Cliente1,16,203
Cliente1,1,219
Cliente1,16,211
Cliente1,16,218
Cliente1,16,203
Cliente1,16,202
Cliente1,0,229
Cliente1,15,203
Cliente1,1,234
Cliente1,15,212
Cliente1,1,226
Cliente1,16,203
Cliente1,15,204
Cliente1,15,203
Cliente1,0,219
Cliente1,16,203
Cliente1,0,195
Cliente1,15,204
Cliente1,0,204
Cliente1,16,219
Cliente1,0,203
Cliente1,0,226
Cliente1,0,218
Cliente1,0,205
Cliente1,0,219
Cliente1,16,203
Cliente1,15,214
Cliente1,16,227
Cliente1,16,202
Cliente1,0,220
Cliente1,14,233
Cliente1,1,218
Cliente1,16,191
Cliente1,1,240
Cliente1,0,209
Cliente1,0,213
Cliente1,16,202
Cliente1,16,199
Cliente1,0,219
Cliente1,1,227
Cliente3,31,219
Cliente3,15,204
Cliente3,7,235
Cliente3,0,206
Cliente3,0,219
Cliente3,0,204
Cliente3,16,216
Cliente3,16,212
Cliente3,0,219
Cliente3,16,203
Cliente3,0,220
Cliente3,0,219
Cliente3,0,204
Cliente3,0,195
Cliente3,0,203
Cliente3,0,203
Cliente3,0,218
Cliente3,0,220
Cliente3,15,203
Cliente4,0,219
Cliente3,0,235
Cliente4,16,218
Cliente4,15,204
Cliente4,0,219
Cliente4,16,202
Cliente4,1,219
Cliente4,0,219
Cliente4,15,203
Cliente4,16,213
Cliente4,16,203
Cliente4,0,310
Cliente4,15,215
Cliente4,16,205
Cliente4,16,202
Cliente4,0,220
Cliente4,16,204
Cliente4,0,221
Cliente4,0,218
Cliente4,0,219
Cliente4,16,218
Cliente4,0,220
Cliente4,0,216
Cliente4,16,219
Cliente4,13,230
Cliente4,1,234
Cliente4,1,218
Cliente4,0,220
Cliente4,1,230
Cliente4,15,220
Cliente5,16,203
Cliente6,1,229
Cliente6,15,219
Cliente6,16,219
Cliente6,1,234
Cliente6,1,222
Cliente6,0,224
Cliente6,1,218
Cliente6,15,206
Cliente6,0,220
Cliente6,1,218
Cliente6,15,219
Cliente6,0,220
Cliente6,0,203
Cliente6,16,219
Cliente6,15,219
Cliente6,1,219
Cliente6,16,203
Cliente6,1,234
Cliente6,16,203
Cliente6,15,204
Cliente6,1,219
Cliente6,1,212
Cliente6,15,204
Cliente6,1,216
Cliente6,1,218
Cliente7,15,204
Cliente6,16,218
Cliente7,15,220
Cliente7,16,218
Cliente7,16,225
Cliente7,16,203
Cliente7,17,225
Cliente7,1,225
