Cliente,TiempoLLave,TiempoActualizacion
Cliente1,1102,217
Cliente1,15,217
Cliente1,1,234
Cliente1,16,218
Cliente1,15,221
Cliente1,14,235
Cliente1,0,220
Cliente1,0,218
Cliente1,16,203
Cliente1,0,222
Cliente1,16,203
Cliente1,0,222
Cliente1,1,234
Cliente1,16,211
Cliente1,16,221
Cliente1,15,203
Cliente1,15,220
Cliente1,0,218
Cliente1,1,210
Cliente1,15,203
Cliente1,16,203
Cliente1,0,210
Cliente1,1,218
Cliente1,16,218
Cliente1,0,204
Cliente1,16,203
Cliente1,0,230
Cliente1,16,218
Cliente1,15,200
Cliente1,0,203
Cliente1,15,220
Cliente1,16,214
Cliente1,0,228
Cliente1,15,203
Cliente1,1,234
Cliente1,16,203
Cliente1,16,219
Cliente1,0,226
Cliente1,16,274
Cliente1,0,227
Cliente1,16,219
Cliente1,1,219
Cliente1,15,220
Cliente1,1,234
Cliente1,0,202
Cliente2,0,219
Cliente3,16,220
Cliente3,0,219
Cliente3,1,234
Cliente3,1,235
Cliente3,0,213
Cliente3,0,219
Cliente3,15,220
Cliente3,16,207
Cliente3,0,202
Cliente3,0,230
Cliente3,0,244
Cliente3,16,219
Cliente3,16,218
Cliente4,0,220
Cliente4,16,191
Cliente5,0,229
Cliente5,1,242
Cliente5,0,219
Cliente5,16,218
Cliente5,0,219
Cliente5,0,202
Cliente5,0,221
Cliente5,16,202
Cliente5,1,218
Cliente5,0,203
Cliente5,0,174
Cliente6,1,226
Cliente7,16,202
Cliente7,16,204
Cliente7,14,206
Cliente7,0,219
Cliente7,16,203
