Cliente,TiempoLLave,TiempoActualizacion
Cliente1,414,202
Cliente1,993,218
Cliente1,0,219
Cliente1,0,203
Cliente1,15,212
Cliente1,15,203
Cliente1,1,219
Cliente1,16,218
Cliente1,16,218
Cliente1,15,221
Cliente1,1,235
Cliente1,15,200
Cliente1,15,222
Cliente1,16,218
Cliente1,0,219
Cliente1,16,218
Cliente1,0,202
Cliente1,15,220
Cliente1,1,235
Cliente1,0,221
Cliente1,0,214
Cliente1,16,203
Cliente1,16,219
Cliente1,16,218
Cliente1,0,203
Cliente1,0,219
Cliente1,1,218
Cliente1,15,220
Cliente1,16,205
Cliente1,15,223
Cliente1,0,202
Cliente1,1,234
Cliente1,16,218
Cliente1,0,229
Cliente1,16,219
Cliente1,16,220
Cliente1,15,213
Cliente1,15,219
Cliente1,16,219
Cliente1,1,219
Cliente1,15,203
Cliente3,16,219
Cliente3,1,228
Cliente3,16,203
Cliente3,15,204
Cliente3,0,203
Cliente3,16,235
Cliente3,0,234
Cliente3,0,220
Cliente3,0,202
Cliente3,0,312
Cliente3,16,213
Cliente3,1,227
Cliente3,16,218
Cliente3,16,204
Cliente3,0,202
Cliente4,0,218
Cliente3,16,203
Cliente4,0,212
Cliente5,15,220
Cliente5,16,204
Cliente5,1,235
Cliente5,1,230
Cliente5,15,219
Cliente5,0,204
Cliente5,15,203
Cliente5,1,218
Cliente5,0,214
Cliente5,0,221
Cliente5,1,219
Cliente5,1,220
Cliente5,16,205
Cliente5,16,219
Cliente6,16,218
Cliente6,16,188
Cliente6,0,188
Cliente6,0,204
Cliente6,0,219
Cliente7,0,214
Cliente7,15,219
