Cliente,TiempoLLave,TiempoActualizacion
Cliente1,858,218
Cliente1,842,218
Cliente1,15,220
Cliente1,16,202
Cliente1,15,204
Cliente1,16,204
Cliente1,1,234
Cliente1,1,234
Cliente1,16,207
Cliente1,14,234
Cliente1,0,220
Cliente1,16,210
Cliente1,15,219
Cliente1,15,220
Cliente1,0,219
Cliente1,0,220
Cliente1,16,219
Cliente1,16,203
Cliente1,1,218
Cliente1,15,219
Cliente1,1,219
Cliente1,0,219
Cliente1,16,198
Cliente1,16,219
Cliente1,16,218
Cliente1,15,220
Cliente1,0,202
Cliente1,0,203
Cliente1,16,203
Cliente1,1,216
Cliente1,15,219
Cliente1,1,234
Cliente1,1,228
Cliente1,15,219
Cliente1,0,228
Cliente1,15,219
Cliente1,16,215
Cliente1,15,215
Cliente1,15,188
Cliente1,12,236
Cliente1,0,225
Cliente1,16,182
Cliente1,0,204
Cliente1,0,219
Cliente1,16,218
Cliente3,1,218
Cliente1,16,217
Cliente3,15,211
Cliente3,1,227
Cliente3,15,203
Cliente3,15,215
Cliente3,15,203
Cliente3,1,219
Cliente3,16,203
Cliente3,15,204
Cliente3,1,229
Cliente4,0,211
Cliente3,16,218
Cliente4,15,220
Cliente4,15,204
Cliente4,15,203
Cliente4,16,207
Cliente4,16,219
Cliente4,1,234
Cliente4,1,226
Cliente5,16,218
Cliente5,0,230
Cliente5,16,211
Cliente5,15,203
Cliente5,1,218
Cliente5,0,203
Cliente5,1,234
Cliente5,1,234
Cliente5,16,204
Cliente5,15,189
Cliente5,0,203
Cliente5,16,218
Cliente5,0,218
Cliente5,0,219
