Cliente,TiempoLLave,TiempoActualizacionv
Cliente1,814,219
Cliente1,829,219
Cliente1,814,219
Cliente1,861,234
Cliente1,830,234
Cliente1,814,234
Cliente1,705,281
Cliente1,814,281
Cliente1,0,220
Cliente1,31,204
Cliente1,16,249
Cliente1,15,302
Cliente1,15,296
Cliente1,15,220
Cliente1,15,220
Cliente1,15,250
Cliente1,0,291
Cliente1,0,228
Cliente1,0,218
Cliente1,0,265
Cliente1,0,218
Cliente1,0,281
Cliente1,16,234
Cliente1,0,203
Cliente1,16,218
Cliente1,0,219
Cliente1,16,284
Cliente1,15,203
Cliente1,16,234
Cliente1,16,202
Cliente1,1,221
Cliente1,31,206
Cliente1,16,204
Cliente1,15,268
Cliente1,16,218
Cliente1,31,203
Cliente1,16,218
Cliente1,0,311
Cliente1,0,203
Cliente1,0,203
Cliente1,0,203
Cliente1,0,313
Cliente4,15,266
Cliente1,0,219
Cliente1,16,218
Cliente9,0,250
Cliente1,31,205
Cliente9,0,277
Cliente9,0,282
Cliente9,16,266
Cliente9,16,218
Cliente9,47,208
Cliente9,0,187
Cliente10,16,211
Cliente12,16,289
Cliente10,0,281
Cliente10,31,203
Cliente10,16,203
Cliente10,16,250
Cliente14,0,204
Cliente14,0,218
Cliente13,0,281
Cliente13,15,219
Cliente13,16,249
Cliente13,13,285
Cliente15,16,296
Cliente16,0,234
Cliente16,16,202
Cliente17,0,219
Cliente17,0,219
Cliente16,16,219
Cliente17,15,290
Cliente17,0,218
Cliente17,16,202
Cliente17,16,203
