Cliente,TiempoLLave,TiempoActualizacion
Cliente1,625,218
Cliente1,630,221
Cliente1,625,228
Cliente1,608,229
Cliente1,611,253
Cliente1,188,264
Cliente1,619,263
Cliente1,616,273
Cliente1,6,252
Cliente1,6,287
Cliente1,5,242
Cliente1,14,259
Cliente1,13,291
Cliente1,16,234
Cliente1,13,210
Cliente1,13,208
Cliente1,13,224
Cliente1,6,222
Cliente1,6,250
Cliente1,13,232
Cliente1,14,274
Cliente1,18,229
Cliente1,13,238
Cliente1,12,212
Cliente1,14,307
Cliente1,13,216
Cliente1,10,227
Cliente1,6,270
Cliente1,5,234
Cliente1,6,295
Cliente1,6,280
Cliente1,6,268
Cliente1,17,210
Cliente1,12,217
Cliente1,43,215
Cliente1,7,230
Cliente1,12,224
Cliente1,14,214
Cliente1,15,223
Cliente1,13,233
Cliente1,14,277
Cliente1,15,221
Cliente1,14,202
Cliente1,13,304
Cliente1,7,288
Cliente1,14,280
Cliente1,15,214
Cliente1,14,219
Cliente1,13,218
Cliente1,16,211
Cliente1,13,217
Cliente1,6,215
Cliente9,7,260
Cliente9,7,206
Cliente9,7,247
Cliente1,5,245
Cliente9,12,275
Cliente9,12,294
Cliente9,63,216
Cliente9,12,218
Cliente9,14,262
Cliente9,13,208
Cliente9,15,303
Cliente9,13,209
Cliente10,13,283
Cliente9,13,212
Cliente13,6,274
Cliente12,6,211
Cliente16,12,213
Cliente16,12,303
Cliente15,13,300
Cliente13,29,220
Cliente17,6,218
Cliente19,6,221
Cliente18,7,298
Cliente17,5,260
Cliente19,14,210
Cliente16,12,212
