Cliente,TiempoLLave,TiempoActualizacion

Cliente1,1,201
Cliente1,0,201
Cliente1,0,198
Cliente1,0,205
Cliente1,0,216
Cliente1,0,207
Cliente1,2,233
Cliente1,2,198
Cliente1,1,239
Cliente1,1,208
Cliente1,1,270
Cliente1,1,247
Cliente1,0,266
Cliente1,1,303
Cliente1,1,227
Cliente1,1,231
Cliente1,1,258
Cliente1,4,242
Cliente1,1,252
Cliente1,1,244
Cliente1,0,217
Cliente1,0,251
Cliente1,1,282
Cliente1,0,202
Cliente1,1,230
Cliente1,1,218
Cliente1,1,199
Cliente1,1,215
Cliente1,3,237
Cliente1,6,228
Cliente1,1,258
Cliente1,1,283
Cliente1,0,196
Cliente1,0,201
Cliente1,1,199
Cliente1,1,283
Cliente1,5,204
Cliente1,1,224
Cliente1,1,245
Cliente1,1,199
Cliente1,0,198
Cliente1,1,221
Cliente1,1,197
Cliente1,1,200
Cliente1,1,244
Cliente1,1,199
Cliente1,1,263
Cliente1,1,208
Cliente1,2,205
Cliente1,0,259
Cliente1,1,200
Cliente1,0,199
Cliente1,1,296
Cliente1,0,201
Cliente1,1,199
Cliente1,1,199
Cliente1,1,199
Cliente1,0,230
Cliente1,1,197
Cliente1,1,253
Cliente1,1,201
Cliente1,1,201
Cliente1,1,232
Cliente1,1,222
Cliente1,1,294
Cliente1,0,208
Cliente1,15,272
Cliente1,4,286
Cliente1,0,200
Cliente1,1,194
Cliente1,1,265
Cliente1,0,238
Cliente1,0,208
Cliente1,0,200
Cliente1,0,201
Cliente1,5,207
Cliente1,0,221
Cliente1,1,192
Cliente1,0,201
Cliente1,0,290
Cliente1,1,224
Cliente1,0,209
Cliente1,1,200
Cliente1,0,221
Cliente1,1,298
Cliente1,1,200
Cliente1,1,193
Cliente1,0,202
Cliente1,0,199
Cliente1,0,240
Cliente1,1,200
Cliente1,1,290
Cliente1,0,280
Cliente1,1,204
Cliente1,0,289
Cliente9,1,199
Cliente1,1,239
Cliente9,12,268
Cliente1,0,291
Cliente9,1,211
Cliente9,1,208
Cliente1,1,200
Cliente9,1,289
Cliente9,0,286
Cliente9,0,249
Cliente9,1,193
Cliente9,0,255
Cliente9,0,199
Cliente9,1,204
Cliente9,1,197
Cliente9,16,273
Cliente9,0,249
Cliente9,0,200
Cliente9,1,194
Cliente9,1,273
Cliente9,1,198
Cliente10,0,199
Cliente9,0,202
Cliente9,0,205
Cliente10,15,195
Cliente10,1,256
Cliente10,1,251
Cliente10,0,198
Cliente10,0,199
Cliente10,1,204
Cliente10,1,267
Cliente10,1,271
Cliente11,1,199
Cliente10,1,201
Cliente10,0,196
Cliente10,1,195
Cliente11,9,201
Cliente11,1,258
Cliente12,0,204
Cliente11,1,251
Cliente11,1,202
Cliente11,0,204
Cliente11,1,200
Cliente15,1,270
Cliente12,0,256
Cliente13,1,197
Cliente13,1,219
Cliente13,1,280
Cliente12,0,201
Cliente13,1,221
Cliente15,1,227
Cliente15,0,251
Cliente15,1,277
Cliente15,1,199
Cliente15,0,196
Cliente15,1,197
Cliente15,1,259
Cliente17,0,197
Cliente16,0,259
Cliente18,0,193
Cliente16,1,196
Cliente18,0,194
Cliente18,0,194
Cliente20,0,204
Cliente19,0,192
Cliente20,0,287
Cliente20,1,222
Cliente19,0,255
Cliente18,2,202
Cliente19,1,195
Cliente18,1,201
Cliente20,1,199
Cliente21,1,204
Cliente21,1,245
Cliente21,1,246
Cliente21,1,210
Cliente21,1,201
Cliente21,1,200
Cliente20,1,197
Cliente21,0,253
Cliente21,1,288
Cliente22,0,195
Cliente21,0,223
Cliente21,0,287
Cliente24,0,202
Cliente24,0,195
Cliente26,1,284
Cliente24,0,201
Cliente26,1,211
Cliente25,0,263
Cliente27,1,197
Cliente24,33,198
Cliente24,1,204
Cliente27,1,204
Cliente27,1,203
Cliente27,1,204
Cliente27,1,195
